emotion,text
Negative,Layin n bed with a headache  ughhhh...waitin on your call...
Negative,Funeral ceremony...gloomy friday...
Positive,wants to hang out with friends SOON!
Negative,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
Negative,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
Negative,Hmmm. http://www.djhero.com/ is down
Negative,@charviray Charlene my love. I miss you
Negative,@kelcouch I'm sorry  at least it's Friday?
Negative,Choked on her retainers
Negative,Ugh! I have to beat this stupid song to get to the next  rude!
Negative,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
Positive,Got the news
Negative,The storm is here and the electricity is gone
Positive,@annarosekerr agreed
Negative,So sleepy again and it's not even that late. I fail once again.
Negative,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
Negative,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
Negative,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
Positive,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
Negative,I ate Something I don't know what it is... Why do I keep Telling things about food
Negative,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
Negative,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
Negative,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
Negative,Damm servers still down  i need to hit 80 before all the koxpers pass me
Negative,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
Negative,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
Negative,It is so annoying when she starts typing on her computer in the middle of the night!
Negative,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
Negative,I need skott right now
Positive,mmm much better day... so far! it's still quite early. last day of #uds
Positive,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
Negative,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
Negative,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
Negative,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
Negative,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
Negative,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
Negative,why am i so tired?
Negative,sucks not being able to take days off of work or have the money to take the trip  so sad
Positive,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
Negative,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
Negative,@itsgabbith at once haha.  poor aby still gets sore!
Negative,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
Negative,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
Negative,@Pokinatcha  in all honesty...pain   blech.
Negative,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
Negative,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
Negative,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
Negative,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
Positive,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
Negative,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
Negative,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
Positive,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
Negative,is sad that shin ae got married...and it wasn't to alex
Negative,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
Negative,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
Negative,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
Negative,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
Negative,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
Negative,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
Negative,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
Negative,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
Negative,I can't sleep...I keep thinking about the puppy I played with today
Negative,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
Negative,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
Positive,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
Negative,@sweeetnspicy hiii im on my ipod...i cant fall asleep
Negative,dont wanna work 11-830 tomorrow  but i get paid
Negative,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
Negative,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
Negative,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
Negative,@mrgenius23 You win ... SIGH Rakeem
Negative,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
Negative,Oh no one minute too late! Oh well
Negative,"@soviet_star Damn, that sucks"
Negative,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
Negative,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
Negative,ahh! big scary bug flying around my room!!!!!
Negative,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
Negative,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
Negative,i'm so tired
Negative,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
Negative,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
Negative,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
Positive,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
Negative,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
Negative,@britblackbird  youstinkatrespondingtotexts!
Negative,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
Positive,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
Negative,Is miserable  i feel like im gona cry  sux!
Negative,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
Positive,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
Negative,*sigh* I'm going to bed... I just don't feel right anymore...
Negative,Now I am depressed after watching so you think you can dance
Negative,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
Negative,"I cant sleep, but im too sore to move"
Negative,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
Negative,@omfgiselle i cant do anything
Positive,I'm at work
Positive,RIP leonardo. You were a great mini fiddler crab
Negative,"Last day working for the Uni today, sad times"
Positive,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
Negative,My head hurts so bad I could scream!
Negative,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
Negative,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
Negative,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
Negative,oh men!!!!!!......I really can't see my face........c'mon guys!!!
Negative,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
Negative,my sole supporter is not my sole supporter
Negative,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
Negative,@Emilyyy16 urgh stop it guys
Negative,is still missing her husband.    I really want him home.
Negative,I miss my puppy
Positive,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
Positive,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
Negative,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
Negative,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
Negative,@BarbSchaefer yearling in pet home died... very sad for their whole family
Negative,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
Negative,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
Negative,is feeling sad... for some reason..  http://plurk.com/p/wxji3
Negative,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
Negative,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
Negative,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
Positive,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
Positive,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
Negative,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
Negative,@jertronic it wont let me
Negative,Took a shift tomorrow.    I don't really feel like working right now.
Negative,but now i have no money for a phone
Negative,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
Negative,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
Positive,@Bern_morley where are you? In Bris? I can't hear any thunder
Positive,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
Negative,Too bad the Red Devils.. disappointing to say the least
Positive,I had a dream about a pretty pretty beach and there was no beach when I woke up
Negative,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
Positive,when da heck will the garage man get here I ask you.. WHEN..
Negative,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
Negative,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
Negative,why are plane tickets so expensive
Positive,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
Negative,Needs a job BADLY!!!
Negative,@AlexanderGWhite daaammmnnnnn I do wish I was there.
Negative,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
Negative,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
Negative,is a bad friend
Negative,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
Negative,would wish the severe migrains would stop!!! doc's prescriptions arent working
Positive,@bobbyedner i missed the game
Negative,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
Negative,@tiffalo cuz airlines are super lame.
Negative,@lenje - Still a pity it comes with no lamb though
